Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_Change_Dealer_Net_Position,Pct_Change_Lev_Money_Net_Position
2019-02-19,3904.4829202328,4530616,4.479491597344944e+19,3452212.5,480757982,2.60340251433503e+22,195.81855996,3988135.857142857,126.699997,36.119999,15.02,277.850006,122.290001,25.690001000000002,2.930993525,9,0.0,2.4,46.3,57.0,-0.0,0.08142493638676845
2019-02-26,3797.581789510301,4595908,4.284202267340334e+19,3439775.0,483148703,2.60783802107564e+22,241.18371957,3975565.7142857136,125.58000200000001,35.66,14.94,279.320007,121.809998,25.6,2.930993525,9,0.0,3.7,47.4,56.7,0.27835051546391754,-0.27058823529411763
2019-03-05,3832.0808847342,4671093,4.385614989466268e+19,3427062.5,485591442,2.60783802107564e+22,197.63462823,3969913.4285714286,121.720001,36.099998,14.2,279.019989,119.839996,25.84,2.8638736,8,0.0,3.8,41.8,56.2,-0.0,0.5
2019-03-12,3866.2959463248,4712262,4.207816742802549e+19,3414875.0,488017516,2.60656906944718e+22,217.08686156,3971212.5714285714,122.980003,35.54000100000001,14.48,279.48999,122.059998,25.879998999999998,2.8638736,8,0.0,3.6,41.9,64.9,-0.0,0.7161290322580646
2019-03-19,3996.0371307640003,4796210,4.67887346508225e+19,3401287.5,490469992,2.60656906944718e+22,188.55926668,3964006.7142857136,123.379997,36.330002,14.4,282.399994,121.410004,25.74,2.8638736,8,0.0,3.4,39.7,68.7,-0.0,0.3383458646616541
2019-03-26,3915.3753197805,4715441,4.5789782099025125e+19,3388262.5,492887277,2.73987364863131e+22,189.11830354,3956635.7142857136,124.300003,36.139998999999996,14.47,281.119995,124.970001,25.879998999999998,2.8638736,8,0.0,3.6,36.1,61.4,-0.0,-0.1882022471910112
2019-04-02,4818.7706353498,5204994,4.597135642982228e+19,3375600.0,495530545,2.73987364863131e+22,434.94402288,3938381.5714285714,121.980003,36.25,14.16,285.97000099999997,124.599998,26.040001,2.8103199410000004,12,0.0,4.0,37.9,65.0,0.27419354838709675,0.24682814302191464
2019-04-09,5179.997649217999,5400366,4.527088562458643e+19,3363100.0,498211456,2.74578277879344e+22,823.22363485,3936601.857142857,123.150002,36.529999,14.28,287.309998,123.980003,25.98,2.8103199410000004,12,0.0,3.6,44.3,61.1,-0.0,-0.3098982423681776
2019-04-16,5184.2044677778995,5104194,4.552843238710023e+19,3350562.5,500824027,2.74578277879344e+22,606.8195559999999,3932535.142857143,120.510002,36.799999,14.07,290.160004,122.209999,26.01,2.8103199410000004,12,0.0,3.7,52.5,58.8,-0.0,-0.6394101876675603
2019-04-23,5552.5219105461,5017105,4.445320891922861e+19,3338287.5,503302469,2.72860584985047e+22,503.01439322,3928780.7142857136,120.120003,37.32,13.91,292.880005,122.57,26.16,2.8103199410000004,12,0.0,3.7,47.0,57.0,-0.0,0.6096654275092936
